Survey;CellID;Location;Area
9;5192710;Chaudron;Ville
9;30066198;Chaudron;Ville
9;4382210;Chaudron;Ville
9;4497921;Chaudron;Ville
9;4497951;Chaudron;Ville
9;17589254;Chaudron;Ville
9;18863719;Chaudron;Ville
10;10077;Chaudron;Ville
10;10886;Chaudron;Ville
10;31013;Chaudron;Ville
10;23183;Chaudron;Ville
10;24312;Chaudron;Ville
10;28492;Chaudron;Ville
10;37473;Chaudron;Ville
10;10075;Chaudron;Ville
10;15614;Chaudron;Ville
10;6672894;Chaudron;Ville
10;9866038;Chaudron;Ville
10;3318675;Chaudron;Ville
10;29191463;Chaudron;Ville
10;6627293;Chaudron;Ville
10;62720707;Chaudron;Ville
10;100747102;Chaudron;Ville
10;17532679;Chaudron;Ville
10;17532673;Chaudron;Ville
10;5152257;Chaudron;Ville
10;17532675;Chaudron;Ville
10;5317182;Chaudron;Ville
10;5152273;Chaudron;Ville
10;4382230;Chaudron;Ville
10;5192710;Chaudron;Ville
10;30066198;Chaudron;Ville
10;4382210;Chaudron;Ville
10;4497921;Chaudron;Ville
10;4382250;Chaudron;Ville
10;4497951;Chaudron;Ville
10;5164809;Chaudron;Ville
10;17589254;Chaudron;Ville
10;18863719;Chaudron;Ville
11;10077;Chaudron;Ville
11;10886;Chaudron;Ville
11;12651;Chaudron;Ville
11;10076;Chaudron;Ville
11;31013;Chaudron;Ville
11;23183;Chaudron;Ville
11;28492;Chaudron;Ville
11;24312;Chaudron;Ville
11;37473;Chaudron;Ville
11;8993;Chaudron;Ville
11;6672894;Chaudron;Ville
11;9866038;Chaudron;Ville
11;3318675;Chaudron;Ville
11;29191463;Chaudron;Ville
11;6627293;Chaudron;Ville
11;62720707;Chaudron;Ville
11;100744989;Chaudron;Ville
11;5152257;Chaudron;Ville
11;5152273;Chaudron;Ville
11;4382230;Chaudron;Ville
11;5192710;Chaudron;Ville
11;30066198;Chaudron;Ville
11;4497921;Chaudron;Ville
11;4382210;Chaudron;Ville
11;4382250;Chaudron;Ville
11;4497951;Chaudron;Ville
11;5192714;Chaudron;Ville
11;5164809;Chaudron;Ville
11;17589254;Chaudron;Ville
11;18863719;Chaudron;Ville
12;10077;Chaudron;Ville
12;10886;Chaudron;Ville
12;31013;Chaudron;Ville
12;23183;Chaudron;Ville
12;24312;Chaudron;Ville
12;28492;Chaudron;Ville
12;30391;Chaudron;Ville
12;6672894;Chaudron;Ville
12;3311542;Chaudron;Ville
12;3318675;Chaudron;Ville
12;29191463;Chaudron;Ville
12;6627293;Chaudron;Ville
12;62720707;Chaudron;Ville
12;100747102;Chaudron;Ville
12;17532676;Chaudron;Ville
12;17532675;Chaudron;Ville
12;17532673;Chaudron;Ville
12;5152257;Chaudron;Ville
12;5317182;Chaudron;Ville
12;5152273;Chaudron;Ville
12;4382230;Chaudron;Ville
12;30066198;Chaudron;Ville
12;4382210;Chaudron;Ville
12;4497921;Chaudron;Ville
12;4382250;Chaudron;Ville
12;4497951;Chaudron;Ville
12;5192714;Chaudron;Ville
12;5164809;Chaudron;Ville
12;17589254;Chaudron;Ville
12;18863719;Chaudron;Ville
13;10077;Chaudron;Ville
13;10886;Chaudron;Ville
13;31013;Chaudron;Ville
13;28492;Chaudron;Ville
13;24312;Chaudron;Ville
13;37473;Chaudron;Ville
13;6672894;Chaudron;Ville
13;3311542;Chaudron;Ville
13;3318675;Chaudron;Ville
13;29191463;Chaudron;Ville
13;6627293;Chaudron;Ville
13;62720707;Chaudron;Ville
13;100747102;Chaudron;Ville
13;17532679;Chaudron;Ville
13;17532676;Chaudron;Ville
13;5152257;Chaudron;Ville
13;5152273;Chaudron;Ville
13;4382230;Chaudron;Ville
13;5192710;Chaudron;Ville
13;30066198;Chaudron;Ville
13;4382210;Chaudron;Ville
13;4497921;Chaudron;Ville
13;4382250;Chaudron;Ville
13;4497951;Chaudron;Ville
13;5192714;Chaudron;Ville
13;5164809;Chaudron;Ville
13;17589254;Chaudron;Ville
13;18863719;Chaudron;Ville
14;10077;Chaudron;Ville
14;10886;Chaudron;Ville
